order_item_id,order_id,product_id,quantity,unit_price,mrp,discount_amount,discount_percent,tax_amount,item_revenue,unit_cost,item_cost,gross_profit,item_status
OI160467,ORD041978,PROD0958,One,16999,19999,NULL,NULL,3059.82,16999,10000,10000,6999,Returned
OI122708,ORD041973,PROD0550,One,3499,4499,NULL,NULL,629.82,3499,2300,2300,1199,Delivered
OI122137,ORD041974,PROD0706,One,899,1299,NULL,NULL,161.82,899,450,450,449,Delivered
OI013300,ORD041975,PROD0434,One,22999,25999,NULL,NULL,4139.82,22999,17500,17500,5499,Cancelled
OI026955,ORD041977,PROD0409,One,3499,3999,NULL,NULL,629.82,3499,2600,2600,899,Delivered
OI042678,ORD001741,PROD0863,3,1199,1499,NULL,NULL,647.46,3597,700,2100,1497,Delivered
OI170217,ORD055147,PROD0360,One,9999,11999,NULL,NULL,1799.82,9999,7500,7500,2499,Returned
OI160469,ORD041978,PROD0136,One,32999,37990,NULL,NULL,5939.82,32999,25000,25000,7999,Delivered
OI170219,ORD055147,PROD0164,One,11999,14999,NULL,NULL,2159.82,11999,9000,9000,2999,Delivered
OI170220,ORD055147,PROD0094,One,104999,114999,NULL,NULL,18899.82,104999,85000,85000,19999,Delivered
OI006949,ORD055154,PROD2074,One,199,229,NULL,NULL,35.82,199,130,130,69,Delivered
OI172053,ORD055156,PROD1849,One,1099,1299,NULL,NULL,197.82,1099,700,700,399,Delivered
OI022978,ORD055157,PROD0208,3,1299,1599,NULL,NULL,701.46,3897,900,2700,1197,Delivered
OI071821,ORD055158,PROD2019,1,799,899,NULL,NULL,143.82,799,500,500,299,Delivered
OI120375,ORD055165,PROD1663,1,449,499,NULL,NULL,80.82,449,280,280,169,Processing
OI120376,ORD055165,PROD1564,1,549,649,NULL,NULL,98.82,549,350,350,199,Processing
OI035695,ORD055179,PROD0768,1,1499,1799,NULL,NULL,269.82,1499,800,800,699,Delivered
OI064285,ORD055215,PROD0903,1,2299,2799,NULL,NULL,413.82,2299,1500,1500,799,Delivered
OI105925,ORD055222,PROD1900,2,999,1199,NULL,NULL,359.64,1998,650,1300,698,Delivered
OI022892,ORD055223,PROD0777,1,3999,4999,NULL,NULL,719.82,3999,2200,2200,1799,Delivered
OI019326,ORD055229,PROD0934,1,11999,14999,NULL,NULL,2159.82,11999,7000,7000,4999,Delivered
