purchase_order_item_id,purchase_order_id,product_id,quantity_ordered,quantity_received,unit_cost,defect_quantity
POI025786,PO004526,PROD0001,38,38,10500,1
POI004813,PO004437,PROD0001,9,9,10500,Zero
POI001092,PO004441,PROD0001,7,7,10500,Zero
POI036108,PO004484,PROD0001,18,18,10500,Zero
POI035231,PO004445,PROD0001,11,11,10500,Zero
POI036105,PO004484,PROD0001,6,6,10500,Zero
POI043939,PO004521,PROD0001,36,36,10500,Zero
POI016207,PO004525,PROD0001,29,29,10500,Zero
POI025788,PO004526,PROD0001,13,13,10500,Zero
POI029416,PO004480,PROD0001,5,5,10500,Zero
POI027859,PO004528,PROD0001,21,21,10500,Zero
POI009081,PO004536,PROD0001,40,40,10500,Zero
POI023474,PO004537,PROD0001,5,5,10500,1
POI024993,PO004413,PROD0001,14,14,10500,0
POI047559,PO004539,PROD0001,29,29,10500,0
POI001541,PO004427,PROD0001,15,15,10500,0
POI041014,PO004471,PROD0001,19,19,10500,0
POI042608,PO004546,PROD0001,31,31,10500,0
POI012926,PO004517,PROD0001,13,13,10500,0
POI016917,PO004518,PROD0001,6,6,10500,0
POI035232,PO004445,PROD0001,35,35,10500,0
POI024169,PO002673,PROD0003,16,16,21500,0
POI024171,PO002673,PROD0003,1,1,21500,0
POI012409,PO002672,PROD0003,20,20,21500,0
POI008850,PO002671,PROD0003,4,4,21500,0
POI022340,PO002670,PROD0003,16,16,21500,0
POI022341,PO002670,PROD0003,1,1,21500,0
POI022339,PO002670,PROD0003,18,18,21500,0
POI009683,PO002669,PROD0003,14,14,21500,0
POI009684,PO002669,PROD0003,17,17,21500,0
POI017305,PO002667,PROD0003,1,1,21500,0
POI017306,PO002667,PROD0003,17,17,21500,0
POI017831,PO002666,PROD0003,19,19,21500,0
POI017832,PO002666,PROD0003,1,1,21500,0
POI046002,PO002664,PROD0003,16,16,21500,0
POI006152,PO002661,PROD0003,2,2,21500,0
POI006151,PO002661,PROD0003,10,10,21500,0
POI013395,PO002659,PROD0003,10,0,21500,0
POI013396,PO002659,PROD0003,10,0,21500,0
POI024099,PO002654,PROD0003,5,5,21500,0
POI009672,PO002675,PROD0003,4,4,21500,0
POI004597,PO002620,PROD0003,5,5,21500,0
POI004598,PO002620,PROD0003,2,2,21500,0
POI013608,PO002618,PROD0003,12,12,21500,0
POI017145,PO002617,PROD0003,14,14,21500,0
POI017146,PO002617,PROD0003,7,7,21500,0
POI021169,PO002616,PROD0003,8,8,21500,0
POI002304,PO002615,PROD0003,17,17,21500,0
POI014985,PO002614,PROD0003,8,0,21500,0
POI005972,PO002613,PROD0003,6,6,21500,0
POI042285,PO002612,PROD0003,17,17,21500,0
POI027105,PO002611,PROD0003,9,9,21500,0
POI042284,PO002612,PROD0003,17,17,21500,1
POI042281,PO002612,PROD0003,1,1,21500,0
POI042282,PO002612,PROD0003,15,15,21500,0
POI042283,PO002612,PROD0003,20,20,21500,0
POI043857,PO002683,PROD0003,16,16,21500,1
POI043860,PO002683,PROD0003,15,15,21500,0
POI043856,PO002683,PROD0003,3,3,21500,0
POI043859,PO002683,PROD0003,19,19,21500,0
POI043858,PO002683,PROD0003,18,18,21500,0
POI010927,PO002682,PROD0003,8,8,21500,0
POI010928,PO002682,PROD0003,12,12,21500,0
POI002708,PO002681,PROD0003,13,13,21500,0
POI000469,PO002679,PROD0003,15,15,21500,0
POI009251,PO002676,PROD0003,15,15,21500,0
POI009252,PO002676,PROD0003,5,5,21500,0
POI009996,PO002621,PROD0003,18,18,21500,0
POI009671,PO002675,PROD0003,11,11,21500,0
POI024170,PO002673,PROD0003,19,19,21500,0
POI044404,PO002646,PROD0003,12,12,21500,0
POI044402,PO002646,PROD0003,14,14,21500,0
POI044401,PO002646,PROD0003,13,13,21500,1
POI044403,PO002646,PROD0003,9,9,21500,0
POI001000,PO002641,PROD0003,17,17,21500,0
POI039191,PO002639,PROD0003,11,11,21500,0
POI005099,PO002637,PROD0003,9,9,21500,1
POI005100,PO002637,PROD0003,5,5,21500,1
POI039571,PO002636,PROD0003,13,13,21500,0
POI015547,PO002634,PROD0003,1,1,21500,0
POI014392,PO002633,PROD0003,4,4,21500,0
POI014391,PO002633,PROD0003,8,8,21500,0
POI029642,PO002632,PROD0003,19,19,21500,0
POI029641,PO002632,PROD0003,10,10,21500,1
POI029643,PO002632,PROD0003,10,10,21500,0
POI047320,PO002631,PROD0003,14,14,21500,0
POI047318,PO002631,PROD0003,4,4,21500,0
POI047317,PO002631,PROD0003,2,2,21500,1
POI047316,PO002631,PROD0003,7,7,21500,0
POI047319,PO002631,PROD0003,13,13,21500,0
POI013609,PO002630,PROD0003,5,5,21500,0
POI013610,PO002630,PROD0003,5,5,21500,0
POI033646,PO002626,PROD0003,6,6,21500,0
POI033647,PO002626,PROD0003,13,13,21500,0
POI033648,PO002626,PROD0003,2,2,21500,1
POI036124,PO002624,PROD0003,3,0,21500,0
POI036122,PO002624,PROD0003,14,0,21500,0
POI036121,PO002624,PROD0003,4,0,21500,0
POI036123,PO002624,PROD0003,8,0,21500,0
