purchase_order_id,supplier_id,warehouse_id,order_date,expected_date,received_date,status,total_amount
PO000329,SUP003,WH001,02-11-2023,10-11-2023,NULL,Cancelled,2130000
PO000330,SUP003,WH001,11-07-2023,19-07-2023,NULL,Cancelled,2221000
PO000331,SUP003,WH001,24-01-2023,01-02-2023,29-01-2023,received,632200
PO000379,SUP003,WH001,31-03-2023,09-04-2023,13-04-2023,received,2331000
PO000380,SUP003,WH001,12-05-2023,20-05-2023,25-05-2023,received,558000
PO000381,SUP003,WH001,10-03-2023,18-03-2023,18-03-2023,received,830000
PO000382,SUP003,WH001,12-01-2023,22-01-2023,22-01-2023,received,220900
PO000383,SUP003,WH001,15-11-2023,25-11-2023,23-11-2023,received,3120000
PO000984,SUP009,WH002,16-08-2023,25-08-2023,26-08-2023,received,659000
PO000985,SUP009,WH002,13-08-2023,22-08-2023,26-08-2023,received,96200
PO000986,SUP009,WH002,15-07-2023,25-07-2023,25-07-2023,received,492200
PO000987,SUP009,WH002,19-04-2023,27-04-2023,27-04-2023,received,949200
PO000988,SUP009,WH002,22-12-2023,01-01-2024,01-01-2024,received,1540000
PO001058,SUP009,WH002,30-11-2023,09-12-2023,09-12-2023,received,517500
PO001059,SUP009,WH002,05-12-2023,15-12-2023,16-12-2023,received,863100
PO001060,SUP009,WH002,31-07-2023,09-08-2023,10-08-2023,received,366000
PO001108,SUP010,WH002,18-03-2023,26-03-2023,27-03-2023,received,315000
PO001109,SUP010,WH002,16-10-2023,22-10-2023,25-10-2023,received,840000
PO001110,SUP010,WH002,13-04-2023,19-04-2023,NULL,Cancelled,1275000
PO001111,SUP010,WH002,08-11-2023,16-11-2023,24-11-2023,Received,3045000
PO001112,SUP010,WH002,24-05-2023,31-05-2023,NULL,Cancelled,3774000
PO001160,SUP010,WH002,14-02-2023,21-02-2023,19-02-2023,Received,720000
PO001161,SUP010,WH002,18-11-2023,24-11-2023,25-11-2023,Received,1848000
PO001162,SUP010,WH002,22-08-2023,29-08-2023,30-08-2023,Received,1536000
PO001163,SUP010,WH002,20-08-2023,28-08-2023,03-09-2023,Received,765000
PO001164,SUP010,WH002,04-09-2023,12-09-2023,09-09-2023,Received,1923000
PO001354,SUP012,WH002,17-04-2023,29-04-2023,30-04-2023,Received,26400
PO001355,SUP012,WH002,31-05-2023,12-06-2023,12-06-2023,Received,138600
PO001356,SUP012,WH002,03-04-2023,14-04-2023,23-04-2023,Received,196100
PO001357,SUP012,WH002,13-11-2023,24-11-2023,01-12-2023,Received,127400
PO001358,SUP012,WH002,22-06-2023,03-07-2023,04-07-2023,Received,212800
PO001407,SUP012,WH002,23-10-2023,03-11-2023,02-11-2023,Received,188750
PO001408,SUP012,WH002,18-09-2023,01-10-2023,28-09-2023,Received,368600
PO001409,SUP012,WH002,01-07-2023,14-07-2023,15-07-2023,Received,233200
PO001458,SUP012,WH002,17-01-2023,30-01-2023,09-02-2023,Received,228200
PO001459,SUP012,WH002,21-10-2023,03-11-2023,03-11-2023,Received,192700
PO001460,SUP012,WH002,10-01-2023,21-01-2023,21-01-2023,Received,231800
PO001697,SUP014,WH003,11-11-2023,23-11-2023,NULL,Cancelled,1408000
PO001698,SUP014,WH003,24-04-2023,07-05-2023,07-05-2023,Received,2141500
PO001699,SUP014,WH003,11-02-2023,24-02-2023,24-02-2023,Received,352000
PO001700,SUP014,WH003,04-05-2023,16-05-2023,15-05-2023,Received,1440000
PO001701,SUP014,WH003,31-12-2023,13-01-2024,22-01-2024,Received,620000
PO001702,SUP014,WH003,16-12-2023,30-12-2023,31-12-2023,Received,1524500
PO001703,SUP014,WH003,19-11-2023,01-12-2023,NULL,Cancelled,1300000
PO001704,SUP014,WH003,19-02-2023,05-03-2023,03-03-2023,Received,112000
PO001705,SUP014,WH003,09-07-2023,22-07-2023,NULL,Cancelled,3280000
PO001706,SUP014,WH003,26-08-2023,07-09-2023,06-09-2023,Received,1451000
PO001707,SUP014,WH003,11-07-2023,24-07-2023,30-07-2023,Received,468000
PO001708,SUP014,WH003,15-09-2023,28-09-2023,28-09-2023,Received,1588000
PO001709,SUP014,WH003,09-03-2023,21-03-2023,21-03-2023,Received,1927000
PO001710,SUP014,WH003,14-08-2023,28-08-2023,29-08-2023,Received,2836000
PO001711,SUP014,WH003,28-07-2023,09-08-2023,10-08-2023,Received,2347100
PO001712,SUP014,WH003,28-03-2023,09-04-2023,18-04-2023,Received,1920000
PO001713,SUP014,WH003,02-07-2023,14-07-2023,15-07-2023,Received,768450
PO001714,SUP014,WH003,17-11-2023,29-11-2023,27-11-2023,Received,2146000
PO001715,SUP014,WH003,17-01-2023,30-01-2023,31-01-2023,Received,164000
PO001716,SUP014,WH003,16-09-2023,30-09-2023,30-09-2023,Received,1701500
PO001717,SUP014,WH003,29-11-2023,13-12-2023,11-12-2023,Received,190000
PO001718,SUP014,WH003,13-03-2023,26-03-2023,26-03-2023,Received,2584500
PO001719,SUP014,WH003,13-10-2023,25-10-2023,22-10-2023,Received,1289000
PO001720,SUP014,WH003,11-05-2023,23-05-2023,31-05-2023,Received,515000
PO001721,SUP014,WH003,28-12-2023,10-01-2024,11-01-2024,Received,967000
PO001722,SUP014,WH003,20-06-2023,04-07-2023,05-07-2023,Received,734000
PO001723,SUP015,WH003,31-12-2023,07-01-2024,07-01-2024,Received,508000
PO001724,SUP015,WH003,18-10-2023,25-10-2023,26-10-2023,Received,304000
PO001725,SUP015,WH003,20-12-2023,28-12-2023,26-12-2023,Received,286000
PO001726,SUP015,WH003,23-05-2023,31-05-2023,01-06-2023,Received,497000
PO001727,SUP015,WH003,21-01-2023,29-01-2023,30-01-2023,Received,2153500
PO001728,SUP015,WH003,21-05-2023,27-05-2023,28-05-2023,Received,4249500
PO001729,SUP015,WH003,13-03-2023,20-03-2023,20-03-2023,Received,380000
PO001730,SUP015,WH003,04-06-2023,10-06-2023,19-06-2023,Received,1649000
PO001731,SUP015,WH003,19-06-2023,26-06-2023,24-06-2023,Received,426000
PO001732,SUP015,WH003,25-02-2023,04-03-2023,06-03-2023,Received,544500
PO001733,SUP015,WH003,14-04-2023,22-04-2023,27-04-2023,Received,2027000
PO001734,SUP015,WH003,18-12-2023,26-12-2023,30-12-2023,Received,568500
PO001735,SUP015,WH003,01-08-2023,08-08-2023,16-08-2023,Received,1252500
PO001741,SUP015,WH003,16-11-2023,23-11-2023,24-11-2023,Received,850000
PO001743,SUP015,WH003,22-07-2023,28-07-2023,25-07-2023,Received,1055500
PO001744,SUP015,WH003,09-12-2023,15-12-2023,14-12-2023,Received,894000
PO001745,SUP015,WH003,17-07-2023,23-07-2023,21-07-2023,Received,450500
PO001746,SUP015,WH003,02-12-2023,10-12-2023,15-12-2023,Received,269000
PO001747,SUP015,WH003,31-05-2023,07-06-2023,11-06-2023,Received,1198000
PO001748,SUP015,WH003,16-09-2023,23-09-2023,24-09-2023,Received,2178000
PO001749,SUP015,WH003,16-01-2023,23-01-2023,24-01-2023,Received,1884000
PO001750,SUP015,WH003,23-11-2023,29-11-2023,30-11-2023,Received,555000
PO001751,SUP015,WH003,22-02-2023,28-02-2023,27-02-2023,Received,407000
PO001752,SUP015,WH003,18-06-2023,25-06-2023,24-06-2023,Received,557000
PO001753,SUP015,WH003,09-06-2023,15-06-2023,13-06-2023,Received,2050500
PO001754,SUP015,WH003,07-08-2023,13-08-2023,13-08-2023,Received,1868000
PO001755,SUP015,WH003,04-08-2023,11-08-2023,19-08-2023,Received,997000
PO001756,SUP015,WH003,11-05-2023,19-05-2023,27-05-2023,Received,1327000
PO001757,SUP015,WH003,18-05-2023,26-05-2023,27-05-2023,Received,359000
PO001758,SUP015,WH003,28-03-2023,03-04-2023,03-04-2023,Received,430000
PO001759,SUP015,WH003,09-06-2023,15-06-2023,15-06-2023,Received,637000
PO001760,SUP015,WH003,14-06-2023,21-06-2023,30-06-2023,Received,1207000
PO001761,SUP015,WH003,16-01-2023,22-01-2023,30-01-2023,Received,425000
PO001762,SUP015,WH003,21-08-2023,27-08-2023,27-08-2023,Received,286000
PO001763,SUP015,WH003,16-10-2023,23-10-2023,29-10-2023,Received,998000
PO001764,SUP015,WH003,10-03-2023,16-03-2023,20-03-2023,Received,280000
