target_id,target_month,region,category_id,order_target,unit_target,sales_target
TGT0036,01-01-2023,S,CAT036,971,991,974943.77
TGT0037,01-01-2023,S,CAT037,854,922,776048.51
TGT0038,01-01-2023,S,CAT038,812,1062,929932.6
TGT0039,01-01-2023,S,CAT039,855,782,794113.43
TGT0040,01-01-2023,S,CAT040,770,933,782135.81
TGT0041,01-01-2023,S,CAT041,840,769,885459.61
TGT0042,01-01-2023,S,CAT042,782,743,788399.3
TGT0043,01-01-2023,S,CAT043,931,948,1003241.92
TGT0044,01-01-2023,S,CAT044,743,779,769499.93
TGT0045,01-01-2023,S,CAT045,826,908,949330.24
TGT0046,01-01-2023,S,CAT046,790,897,846362.7
TGT0047,01-01-2023,S,CAT047,761,828,699930.21
TGT0048,01-01-2023,S,CAT048,909,898,842500.62
TGT0049,01-01-2023,S,CAT049,843,863,839373.31
TGT0050,01-01-2023,S,CAT050,760,861,690534.39
TGT0051,01-01-2023,S,CAT051,784,776,707454.35
TGT0052,01-01-2023,S,CAT052,806,918,841003.81
TGT0053,01-01-2023,S,CAT053,928,1063,949097.94
TGT0054,01-01-2023,S,CAT054,912,841,1044489.53
TGT0055,01-01-2023,S,CAT055,751,869,720453.9
TGT0056,01-01-2023,S,CAT056,763,992,742153.26
TGT0057,01-01-2023,S,CAT057,930,977,802727
TGT0058,01-01-2023,S,CAT058,771,866,747962.3
TGT0059,01-01-2023,South,CAT059,759,927,715595.34
TGT0060,01-01-2023,South,CAT060,774,910,843724.39
TGT0061,01-01-2023,South,CAT061,771,1032,815762.61
TGT0062,01-01-2023,South,CAT062,857,1018,920921.53
TGT0063,01-01-2023,South,CAT063,849,774,841452.21
TGT0064,01-01-2023,South,CAT064,780,824,826335.33
TGT0065,01-01-2023,South,CAT065,675,651,781884.62
TGT0066,01-01-2023,South,CAT066,884,815,806430.36
TGT0067,01-01-2023,South,CAT067,783,974,836541.43
TGT0068,01-01-2023,South,CAT068,825,1052,881907.82
TGT0069,01-01-2023,South,CAT069,706,764,643758.9
TGT0070,01-01-2023,South,CAT070,725,788,829577.97
TGT0071,01-01-2023,South,CAT071,747,944,799794.18
TGT0072,01-01-2023,South,CAT072,696,803,674487.02
TGT0073,01-01-2023,South,CAT073,770,868,846907.28
TGT0074,01-01-2023,South,CAT074,884,1026,994068.94
TGT0075,01-01-2023,South,CAT075,801,903,691683.51
TGT0076,01-01-2023,South,CAT076,746,800,759364.1
TGT0077,01-01-2023,South,CAT077,825,1072,812706.73
TGT0078,01-01-2023,South,CAT078,818,848,810175.57
TGT0079,01-01-2023,South,CAT079,742,914,879185.67
